Date,Close,Percent_Change,Year,Month
2007-10-01,9013.150390625,12.073191063789125,2007,10
2007-11-01,9375.75,4.02300631477488,2007,11
2007-12-01,9863.4501953125,5.201719279124339,2007,12
2008-01-01,9226.25,-6.460216077486991,2008,1
2008-02-01,8688.349609375,-5.830108555751257,2008,2
2008-03-01,6655.0,-23.403174374808223,2008,3
2008-04-01,7629.0,14.635612321562741,2008,4
2008-05-01,6584.35009765625,-13.693143299826316,2008,5
2008-06-01,5027.0498046875,-23.651541456203596,2008,6
2008-07-01,5730.0498046875,13.984345238523076,2008,7
2008-08-01,6102.0498046875,6.492090168146247,2008,8
2008-09-01,5803.5498046875,-4.89179881440327,2008,9
2008-10-01,4521.7001953125,-22.08733710426084,2008,10
2008-11-01,4291.14990234375,-5.0987523057754665,2008,11
2008-12-01,5001.5498046875,16.555000839186306,2008,12
2009-01-01,4456.5498046875,-10.896622472682783,2009,1
2009-02-01,3892.39990234375,-12.658893697325324,2009,2
2009-03-01,4133.2001953125,6.186422233331057,2009,3
2009-04-01,5130.9501953125,24.13989046868712,2009,4
2009-05-01,7414.35009765625,44.502476450264595,2009,5
2009-06-01,7338.85009765625,-1.0182955890343792,2009,6
2009-07-01,7544.5,2.802208787578686,2009,7
2009-08-01,7431.64990234375,-1.4957929306945505,2009,8
2009-09-01,8812.349609375,18.578643035859542,2009,9
2009-10-01,8438.599609375,-4.24120713052949,2009,10
2009-11-01,9046.9501953125,7.209141493828475,2009,11
2009-12-01,9029.5,-0.19288483893215025,2009,12
2010-01-01,8651.5498046875,-4.185726732515638,2010,1
2010-02-01,8722.75,0.8229761940909519,2010,2
2010-03-01,9459.599609375,8.447446153735916,2010,3
2010-04-01,9870.349609375,4.342149953079666,2010,4
2010-05-01,9363.7001953125,-5.133044259964992,2010,5
2010-06-01,9464.599609375,1.0775592122546973,2010,6
2010-07-01,10161.0,7.357948770861822,2010,7
2010-08-01,10746.349609375,5.7607480501427055,2010,8
2010-09-01,12366.349609375,15.074886439454094,2010,9
2010-10-01,12330.75,-0.2878748418046695,2010,10
2010-11-01,11952.599609375,-3.066726603207426,2010,11
2010-12-01,11791.4501953125,-1.348237365335181,2010,12
