Date,Close,Percent_Change,Year,Month
2007-10-01,5900.64990234375,17.511222830248773,2007,10
2007-11-01,5762.75,-2.337029049782735,2007,11
2007-12-01,6138.60009765625,6.522061475098684,2007,12
2008-01-01,5137.4501953125,-16.30909142828826,2008,1
2008-02-01,5223.5,1.674951608601738,2008,2
2008-03-01,4734.5,-9.361539197855839,2008,3
2008-04-01,5165.89990234375,9.11183656867145,2008,4
2008-05-01,4870.10009765625,-5.7260072839060765,2008,5
2008-06-01,4040.550048828125,-17.033531800041413,2008,6
2008-07-01,4332.9501953125,7.236642114337366,2008,7
2008-08-01,4360.0,0.6242814587798184,2008,8
2008-09-01,3921.199951171875,-10.064221303397359,2008,9
2008-10-01,2885.60009765625,-26.41027915972838,2008,10
2008-11-01,2755.10009765625,-4.522456181852608,2008,11
2008-12-01,2959.14990234375,7.406257393736215,2008,12
2009-01-01,2874.800048828125,-2.850475856218604,2009,1
2009-02-01,2763.64990234375,-3.8663609502053498,2009,2
2009-03-01,3020.949951171875,9.310153525955588,2009,3
2009-04-01,3473.949951171875,14.995283183168073,2009,4
2009-05-01,4448.9501953125,28.06604176354717,2009,5
2009-06-01,4291.10009765625,-3.5480302257050234,2009,6
2009-07-01,4636.4501953125,8.048055039426295,2009,7
2009-08-01,4662.10009765625,0.5532228593694954,2009,8
2009-09-01,5083.9501953125,9.048499363373264,2009,9
2009-10-01,4711.7001953125,-7.322062288163678,2009,10
2009-11-01,5032.7001953125,6.812827359417972,2009,11
2009-12-01,5201.0498046875,3.345115004700694,2009,12
2010-01-01,4882.0498046875,-6.133377144600649,2010,1
2010-02-01,4922.2998046875,0.8244487788992672,2010,2
2010-03-01,5249.10009765625,6.639178959752479,2010,3
2010-04-01,5278.0,0.5505687033221962,2010,4
2010-05-01,5086.2998046875,-3.6320612980769273,2010,5
2010-06-01,5312.5,4.4472446375267705,2010,6
2010-07-01,5367.60009765625,1.0371783088235276,2010,7
2010-08-01,5402.39990234375,0.6483308006253186,2010,8
2010-09-01,6029.9501953125,11.616139203180742,2010,9
2010-10-01,6017.7001953125,-0.20315259004166641,2010,10
2010-11-01,5862.7001953125,-2.5757348317341777,2010,11
2010-12-01,6134.5,4.636085688038705,2010,12
2011-01-01,5505.89990234375,-10.246965484656457,2011,1
2011-02-01,5333.25,-3.135725411031476,2011,2
2011-03-01,5833.75,9.384521633150511,2011,3
2011-04-01,5749.5,-1.4441825583886847,2011,4
2011-05-01,5473.10009765625,-4.807372855791803,2011,5
2011-06-01,5647.39990234375,3.1846631996031105,2011,6
2011-07-01,5482.0,-2.9287797075448263,2011,7
2011-08-01,5001.0,-8.774170010944914,2011,8
2011-09-01,4943.25,-1.1547690461907623,2011,9
2011-10-01,5326.60009765625,7.755021446543275,2011,10
2011-11-01,4832.0498046875,-9.284539554346427,2011,11
2011-12-01,4624.2998046875,-4.299417605308308,2011,12
2012-01-01,5199.25,12.433237886732428,2012,1
2012-02-01,5385.2001953125,3.576481133096121,2012,2
2012-03-01,5295.5498046875,-1.6647550206775108,2012,3
2012-04-01,5248.14990234375,-0.8950893503407831,2012,4
2012-05-01,4924.25,-6.171696852620401,2012,5
2012-06-01,5278.89990234375,7.202110013580754,2012,6
2012-07-01,5229.0,-0.9452708569373525,2012,7
2012-08-01,5258.5,0.5641614075349022,2012,8
2012-09-01,5703.2998046875,8.458682222829705,2012,9
2012-10-01,5619.7001953125,-1.465811236265191,2012,10
2012-11-01,5879.85009765625,4.629248773106198,2012,11
2012-12-01,5905.10009765625,0.42943271649160675,2012,12
2013-01-01,6034.75,2.195558080297544,2013,1
2013-02-01,5693.0498046875,-5.66220962446663,2013,2
2013-03-01,5682.5498046875,-0.18443541441275357,2013,3
2013-04-01,5930.2001953125,4.3580857033705955,2013,4
2013-05-01,5985.9501953125,0.9401031696040674,2013,5
2013-06-01,5842.2001953125,-2.4014566661875736,2013,6
2013-07-01,5742.0,-1.7151106083782564,2013,7
2013-08-01,5471.7998046875,-4.705680865769768,2013,8
2013-09-01,5735.2998046875,4.8156001572694285,2013,9
2013-10-01,6299.14990234375,9.83122272344701,2013,10
2013-11-01,6176.10009765625,-1.9534350919592547,2013,11
2013-12-01,6304.0,2.070884543990581,2013,12
2014-01-01,6089.5,-3.402601522842641,2014,1
2014-02-01,6276.9501953125,3.0782526531324406,2014,2
2014-03-01,6704.2001953125,6.806649514585317,2014,3
2014-04-01,6696.39990234375,-0.11634934431409283,2014,4
2014-05-01,7229.9501953125,7.9677184867947615,2014,5
2014-06-01,7611.35009765625,5.2752770356707,2014,6
2014-07-01,7721.2998046875,1.4445493325173198,2014,7
2014-08-01,7954.35009765625,3.018277995464813,2014,8
2014-09-01,7964.7998046875,0.1313709718953504,2014,9
2014-10-01,8322.2001953125,4.487248887469342,2014,10
2014-11-01,8588.25,3.1968685977700195,2014,11
2014-12-01,8282.7001953125,-3.557765606351704,2014,12
2015-01-01,8808.900390625,6.353003041330618,2015,1
2015-02-01,8844.599609375,0.40526305403558727,2015,2
2015-03-01,8491.0,-3.9979153946120505,2015,3
2015-04-01,8181.5,-3.645035920386286,2015,4
2015-05-01,8433.650390625,3.0819579615596115,2015,5
2015-06-01,8368.5,-0.7725052332904658,2015,6
2015-07-01,8532.849609375,1.9639076223337604,2015,7
2015-08-01,7971.2998046875,-6.5810348288633636,2015,8
2015-09-01,7948.89990234375,-0.2810068984054226,2015,9
2015-10-01,8065.7998046875,1.4706425263863565,2015,10
2015-11-01,7935.25,-1.6185599425816433,2015,11
2015-12-01,7946.35009765625,0.13988340198796134,2015,12
2016-01-01,7563.5498046875,-4.817309686388671,2016,1
2016-02-01,6987.0498046875,-7.622082420118592,2016,2
2016-03-01,7738.39990234375,10.753467037721443,2016,3
2016-04-01,7849.7998046875,1.439572828357072,2016,4
2016-05-01,8160.10009765625,3.9529707851078566,2016,5
2016-06-01,8287.75,1.5643178492432241,2016,6
2016-07-01,8638.5,4.232149859732748,2016,7
2016-08-01,8786.2001953125,1.709789839815934,2016,8
2016-09-01,8611.150390625,-1.9923266121444683,2016,9
2016-10-01,8638.0,0.31180049304715407,2016,10
